source,target,weight
272.4,362.9,3
272.4,V58.61,1
272.4,244.9,8
272.4,562.1,1
272.4,401.9,12
272.4,812.44,1
272.4,215.9,1
272.4,620.2,2
272.4,617.9,1
272.4,784.0,1
272.4,220,1
272.4,218.9,2
272.4,493.9,1
272.4,V25.2,1
272.4,724.3,1
272.4,571.8,2
272.4,790.6,2
272.4,577.0,2
272.4,571.3,1
272.4,451.9,1
272.4,401.1,1
272.4,272.2,1
272.4,786.5,1
272.4,550.9,1
272.4,738.4,1
272.4,715.34,1
272.4,726.2,1
272.4,780.57,1
272.4,250.6,3
272.4,250.5,11
272.4,600.00,1
272.4,553.3,2
272.4,535.1,1
272.4,162.9,1
272.4,366.9,4
272.4,272.0,1
272.4,447.9,1
272.4,574.31,1
272.4,733.00,5
272.4,199.1,1
272.4,574.01,1
272.4,813.41,1
272.4,275.0,1
272.4,701.0,1
272.4,V68.1,1
272.4,586,2
272.4,250.4,3
272.4,389.1,1
272.4,413.9,1
272.4,389.9,2
272.4,726.9,1
272.4,241.1,2
272.4,704.01,1
272.4,211.3,1
272.4,534.91,1
272.4,V67.00,1
272.4,423.9,1
272.4,358.00,1
272.4,443.81,1
272.4,365.9,1
272.4,724.2,1
272.4,V42.0,1
272.4,V43.1,1
272.4,727.03,1
272.4,250.91,1
272.4,627.2,1
272.4,367.21,1
272.4,726.73,1
272.4,536.3,1
272.4,V45.51,1
272.4,361.81,1
272.4,696.1,1
272.4,787.91,1
272.4,285.29,1
272.4,369.7,1
272.4,362.02,1
272.4,285.9,1
272.4,375.15,1
272.4,366.41,1
272.4,250.8,1
272.4,374.05,1
272.4,250.51,1
272.4,278.00,2
272.4,436,1
272.4,829.0,1
272.4,411.89,1
272.4,618.9,1
272.4,384.2,1
272.4,426.4,1
272.4,465.8,1
272.4,414.9,1
272.4,410.9,1
272.4,476.0,1
272.4,478.6,1
272.4,281.0,1
272.4,251.2,1
272.4,805.8,1
272.4,412,1
272.4,428.9,1
272.4,715.9,2
272.4,V43.3,1
272.4,277.4,1
272.4,733.9,1
272.4,V15.82,1
272.4,710.2,1
272.4,721.9,1
272.4,709.01,1
272.4,715.36,1
272.4,920,1
272.4,435.9,1
272.4,228.00,1
719.41,354.0,1
719.41,574.00,1
719.41,416.0,1
719.41,701.0,1
719.41,592.0,1
719.41,732.9,1
719.41,813.81,1
719.41,244.9,2
719.41,726.12,2
719.41,79.82,2
719.41,365.04,1
719.41,443.0,1
719.41,436,2
719.41,250.91,1
719.41,242.2,1
719.41,825.25,1
719.41,300.9,1
719.41,722.2,1
719.41,715.36,1
719.41,721.0,1
719.41,427.31,1
719.41,586,1
719.41,366.9,1
719.41,585.1,1
719.41,791.0,1
719.41,426.4,1
719.41,275.4,1
719.41,702.0,1
719.41,401.9,1
719.41,437.9,1
719.41,579.0,1
719.41,459.81,1
719.41,726.73,1
354.0,574.00,1
354.0,365.04,1
354.0,244.8,1
354.0,250.5,5
354.0,620.2,2
354.0,617.9,1
354.0,721.0,1
354.0,477.9,4
354.0,726.1,1
354.0,715.35,2
354.0,188.9,1
354.0,459.81,1
354.0,402.01,1
354.0,753.1,1
354.0,696.1,2
354.0,729.4,1
354.0,627.2,1
354.0,782.3,1
354.0,812.2,1
354.0,241.9,1
354.0,574.2,1
354.0,287.5,1
354.0,535.1,1
354.0,345.9,1
354.0,253.4,1
354.0,308.0,1
354.0,272.0,2
354.0,244.9,2
354.0,564.1,1
354.0,V25.2,1
354.0,553.3,2
354.0,715.36,1
354.0,362.01,1
354.0,305.1,1
354.0,251.0,1
354.0,721.9,1
354.0,V68.1,1
354.0,541,1
354.0,79.82,1
354.0,289.9,1
354.0,648.83,1
354.0,695.3,1
354.0,454.9,1
354.0,530.81,2
354.0,727.3,1
354.0,790.4,1
